,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,-1,-1,1,1,-1,1,1,-1,1,0.0,-2.0816506999999995,562
1,1,1,-1,-1,1,-1,-1,1,-1,0.0,-1.8936328999999998,199
2,-1,1,-1,1,-1,1,1,-1,1,0.0,-1.8413354999999993,114
3,1,-1,1,-1,1,-1,-1,1,-1,0.0,-1.8207336999999997,70
4,-1,-1,1,1,-1,1,1,1,1,0.0,-1.7127887000000008,21
5,-1,1,1,1,-1,1,1,-1,1,0.0,-1.6915067,4
6,1,-1,-1,-1,1,-1,-1,1,-1,0.0,-1.6170809,5
7,-1,1,-1,-1,1,-1,-1,1,-1,0.0,-1.5379013000000004,1
8,-1,-1,1,-1,-1,1,-1,1,-1,0.0,-1.5138127000000006,3
9,1,-1,1,-1,-1,1,-1,1,-1,0.0,-1.4736979000000001,1
10,-1,1,-1,1,1,-1,1,-1,-1,0.0,-1.4683169,1
11,-1,1,-1,1,-1,1,1,-1,-1,0.0,-1.4625131,6
12,-1,-1,1,1,-1,1,1,-1,-1,0.0,-1.4618602999999997,4
13,-1,-1,1,-1,-1,1,-1,1,1,0.0,-1.4545791000000003,5
14,1,1,-1,-1,1,-1,-1,-1,-1,0.0,-1.4464149000000006,1
15,-1,1,-1,1,1,-1,1,-1,1,0.0,-1.4185632999999997,1
16,1,1,-1,1,1,-1,1,-1,1,0.0,-1.2607821000000001,1
17,1,1,-1,-1,1,-1,-1,1,1,0.0,-1.1364624999999997,1
