,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,-1,1,-1,-1,-1,-1,-1,-1,-1,0.0,-2.3628349000000006,909
1,-1,1,-1,-1,-1,-1,-1,1,-1,0.0,-2.0361229,25
2,-1,-1,-1,-1,-1,-1,-1,1,-1,0.0,-2.0110032999999996,16
3,-1,1,1,-1,-1,1,-1,-1,-1,0.0,-1.8930531,4
4,1,1,1,-1,-1,1,-1,-1,-1,0.0,-1.8793083,3
5,1,-1,1,1,1,1,1,-1,1,0.0,-1.7946551,17
6,1,1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.7764101,1
7,1,-1,1,1,1,1,1,1,1,0.0,-1.7506951000000002,14
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.7110593,1
9,1,1,1,1,1,1,1,-1,1,0.0,-1.7097834999999995,3
10,1,1,1,-1,-1,-1,-1,-1,-1,0.0,-1.7020760999999998,1
11,1,-1,1,1,-1,1,1,-1,1,0.0,-1.6299031000000004,1
12,-1,-1,-1,-1,-1,-1,1,-1,-1,0.0,-1.5842608999999999,1
13,-1,-1,1,1,1,1,1,1,1,0.0,-1.3462423000000001,2
14,-1,-1,-1,1,1,-1,1,1,1,0.0,-1.1844481,1
15,-1,1,-1,-1,-1,-1,-1,1,-1,0.1111111111111111,-2.0361229,1
