,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,-1,-1,-1,-1,-1,-1,1,1,1,0.0,-1.5478849999999997,936
1,-1,-1,-1,-1,-1,-1,1,1,-1,0.0,-1.2314006,6
2,-1,-1,1,-1,-1,-1,-1,-1,-1,0.0,-1.1759062000000002,10
3,-1,-1,-1,-1,-1,1,1,1,1,0.0,-1.1582465999999998,5
4,1,1,-1,-1,1,-1,-1,-1,-1,0.0,-1.1251323999999998,9
5,1,1,1,-1,1,1,-1,-1,-1,0.0,-1.0977913999999998,4
6,-1,-1,1,-1,-1,-1,1,-1,1,0.0,-1.0973886,5
7,-1,-1,1,-1,1,-1,-1,-1,-1,0.0,-1.0949741999999998,2
8,1,1,-1,-1,1,-1,1,-1,1,0.0,-1.0768772,8
9,1,-1,-1,-1,-1,-1,1,1,1,0.0,-1.0557541999999998,2
10,1,1,-1,-1,1,1,1,-1,1,0.0,-1.0431235999999997,1
11,1,1,-1,-1,1,1,-1,-1,-1,0.0,-1.0388987999999995,3
12,1,-1,1,-1,1,1,-1,-1,-1,0.0,-1.0386625999999997,2
13,1,-1,1,-1,1,-1,-1,-1,-1,0.0,-1.0343993999999999,1
14,-1,-1,1,-1,-1,-1,-1,1,-1,0.0,-1.0185696,1
15,-1,-1,-1,-1,-1,-1,-1,1,-1,0.0,-1.0159570000000002,1
16,1,1,1,1,1,1,-1,-1,-1,0.0,-1.0081381999999997,1
17,1,-1,-1,-1,-1,1,1,1,1,0.0,-0.9091558,1
18,1,-1,-1,-1,1,-1,-1,-1,-1,0.0,-0.8504827999999999,1
19,-1,-1,-1,-1,-1,-1,1,1,1,0.1111111111111111,-1.5478849999999997,1
