,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.7577760800000004,482
1,1,-1,-1,1,1,-1,1,1,-1,0.0,-1.59286944,120
2,1,-1,-1,-1,1,-1,-1,1,-1,0.0,-1.5686812399999999,123
3,1,-1,-1,1,1,-1,1,1,1,0.0,-1.5661930400000001,95
4,-1,1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.5645589600000005,31
5,-1,-1,-1,-1,-1,-1,-1,1,-1,0.0,-1.56186168,26
6,1,-1,-1,1,1,-1,1,-1,-1,0.0,-1.5322398399999997,37
7,1,-1,-1,1,-1,1,1,-1,-1,0.0,-1.4447299199999997,35
8,1,-1,-1,-1,1,-1,-1,1,1,0.0,-1.42531844,9
9,1,-1,-1,-1,1,-1,1,-1,-1,0.0,-1.4223324399999997,2
10,-1,-1,-1,1,-1,1,1,-1,-1,0.0,-1.41253156,14
11,-1,1,-1,-1,-1,-1,-1,1,-1,0.0,-1.40728136,4
12,1,-1,-1,-1,1,-1,-1,-1,-1,0.0,-1.3854996399999997,2
13,1,-1,-1,1,1,1,1,1,1,0.0,-1.31855232,5
14,-1,-1,-1,-1,-1,-1,1,-1,-1,0.0,-1.3003128800000001,1
15,-1,-1,-1,-1,1,-1,-1,1,-1,0.0,-1.2648908800000005,2
16,1,-1,1,1,1,-1,1,-1,-1,0.0,-1.2335930800000001,3
17,1,-1,1,-1,1,-1,-1,-1,-1,0.0,-1.21959928,2
18,1,-1,1,1,-1,1,1,-1,-1,0.0,-1.1400671599999999,1
19,-1,-1,-1,-1,-1,1,1,-1,-1,0.0,-1.0862401600000002,2
20,1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.0702624399999998,1
21,1,-1,1,1,1,1,1,-1,1,0.0,-1.0700759600000003,1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1111111111111111,-1.7577760800000004,1
23,-1,1,-1,-1,-1,-1,1,-1,-1,0.0,-0.6377037600000001,1
