,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,-1,-1,-1,-1,-1,-1,-1,1,-1,0.0,-2.4932818999999995,699
1,-1,1,-1,-1,-1,-1,-1,-1,-1,0.0,-2.3159887,194
2,-1,1,-1,-1,-1,-1,-1,1,-1,0.0,-2.2415887,54
3,1,1,1,1,1,1,1,-1,1,0.0,-2.1343620999999997,26
4,1,-1,1,1,-1,1,1,-1,1,0.0,-2.0132205,7
5,1,-1,1,1,1,1,1,-1,1,0.0,-1.9447529,4
6,-1,1,-1,-1,1,-1,-1,1,-1,0.0,-1.9357963,1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.9024979,7
8,-1,-1,-1,-1,-1,-1,1,-1,-1,0.0,-1.6634101,2
9,-1,-1,-1,1,-1,-1,-1,1,-1,0.0,-1.3928010999999998,2
10,1,1,1,1,-1,1,1,-1,1,0.0,-1.1847497,1
11,-1,-1,-1,-1,-1,-1,-1,1,-1,0.1111111111111111,-2.4932818999999995,1
12,-1,-1,-1,-1,-1,-1,-1,1,-1,0.1111111111111111,-2.4932818999999995,1
13,-1,1,-1,1,-1,-1,1,-1,-1,0.0,-0.8775864999999998,1
