,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,1,-1,1,-1,-1,-1,-1,-1,-1,0.0,-1.3787928000000003,818
1,-1,-1,1,-1,-1,-1,-1,-1,-1,0.0,-1.2494234,26
2,1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.2367456,27
3,-1,1,-1,1,-1,-1,-1,-1,-1,0.0,-1.1983766,11
4,-1,1,-1,1,-1,-1,1,-1,-1,0.0,-1.1730375999999998,7
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.1631105999999998,5
6,-1,-1,-1,1,-1,-1,1,1,-1,0.0,-1.1391968,36
7,-1,-1,-1,1,-1,-1,-1,1,-1,0.0,-1.1315286,43
8,-1,1,-1,1,1,1,1,1,1,0.0,-1.0821307999999998,9
9,1,-1,-1,-1,-1,-1,-1,1,-1,0.0,-1.0770432000000003,10
10,-1,1,-1,1,-1,1,1,1,-1,0.0,-1.0505220000000002,1
11,-1,-1,-1,1,-1,-1,1,1,-1,0.1111111111111111,-1.1391968,1
12,-1,-1,-1,1,-1,-1,-1,1,-1,0.1111111111111111,-1.1315286,1
13,1,-1,-1,1,-1,-1,-1,1,-1,0.0,-1.0159764000000004,1
14,1,1,-1,1,1,1,1,1,1,0.0,-0.9889626,1
15,-1,1,-1,1,-1,1,1,1,1,0.0,-0.9371499999999999,1
16,1,-1,-1,1,-1,-1,1,1,-1,0.0,-0.8328366,1
17,1,-1,1,-1,-1,-1,-1,-1,-1,0.1111111111111111,-1.3787928000000003,1
