,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,1,-1,1,1,-1,-1,-1,-1,-1,0.0,-0.8810324999999999,774
1,-1,1,-1,-1,1,1,1,1,-1,0.0,-0.8779307000000001,130
2,-1,1,-1,-1,1,-1,1,1,-1,0.0,-0.7549243000000001,7
3,1,-1,1,1,-1,-1,1,-1,-1,0.0,-0.7355915000000001,17
4,-1,-1,1,-1,-1,-1,-1,1,-1,0.0,-0.7284337000000001,18
5,1,-1,-1,1,-1,-1,1,-1,-1,0.0,-0.7104043000000001,10
6,1,-1,1,-1,-1,-1,-1,-1,-1,0.0,-0.7090017,6
7,-1,1,-1,-1,1,1,1,-1,-1,0.0,-0.6923323000000001,9
8,-1,-1,1,-1,1,-1,1,-1,-1,0.0,-0.6816583,3
9,-1,-1,1,-1,1,-1,1,1,-1,0.0,-0.6720807000000001,1
10,1,-1,1,-1,1,-1,1,-1,-1,0.0,-0.6570463,2
11,-1,1,-1,-1,1,-1,1,-1,-1,0.0,-0.6510299,1
12,-1,-1,-1,-1,1,-1,1,1,-1,0.0,-0.6407063000000001,2
13,-1,1,1,-1,1,1,1,-1,-1,0.0,-0.6320811,1
14,-1,1,-1,-1,1,1,-1,1,-1,0.0,-0.6190893,3
15,-1,-1,1,1,-1,-1,-1,1,-1,0.0,-0.6158245,5
16,1,-1,-1,1,-1,-1,-1,-1,-1,0.0,-0.6061812999999999,1
17,1,-1,1,-1,-1,-1,1,-1,-1,0.0,-0.5977231,1
18,1,-1,1,1,-1,1,-1,-1,-1,0.0,-0.5928980999999998,1
19,-1,1,-1,1,-1,-1,1,1,-1,0.0,-0.5820462999999999,1
20,-1,1,-1,-1,-1,1,1,1,-1,0.0,-0.5818339000000001,2
21,1,-1,1,-1,1,-1,-1,-1,-1,0.0,-0.5588529,1
22,1,-1,-1,1,-1,-1,-1,1,-1,0.0,-0.5516924999999997,1
23,1,1,-1,-1,1,1,1,-1,-1,0.0,-0.5418243,1
24,1,-1,1,-1,1,1,-1,-1,-1,0.0,-0.4629296999999999,1
25,1,-1,1,1,-1,-1,1,-1,-1,0.1111111111111111,-0.7355915000000001,1
